quote,character,movie
Deagol!,Gollum,The Return of the King
Deagol!,Gollum,The Return of the King
Deagol!,Gollum,The Return of the King
Give us that! Deagol my love,Gollum,The Return of the King
Why?,D�agol,The Return of the King
"Because' , it's my birthday and I wants it.  ",Gollum,The Return of the King
Arrghh!,D�agol,The Return of the King
They cursed us,Gollum,The Return of the King
Murderer),Gollum,The Return of the King
'Murderer' they called us. They cursed us and drove us away.,Gollum,The Return of the King
"Pull it in! Go on, go on, go on, pull it in!  ",Gollum,The Return of the King
"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",D�agol,The Return of the King
My precious.,Gollum,The Return of the King
Gandalf?,Frodo Baggins,The Return of the King
Oooohhh!,Frodo Baggins,The Return of the King
Frodo!,Meriadoc Brandybuck,The Return of the King
Aaaahh!,Gimli,The Return of the King
"and cool, so nice for feet' and we only wish to catch a fish    , so juicy sweet.  ",Gollum,The Return of the King
Gimli!,Frodo Baggins,The Return of the King
My precious!,Gollum,The Return of the King
"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once.  ",Gollum,The Return of the King
Haven't you had any sleep Mr Frodo?,Samwise Gamgee,The Return of the King
"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name.  ",Gollum,The Return of the King
"Gollum' Gollum' Gollum' , and we wept precious. We wept to be so alone.  ",Gollum,The Return of the King
Not before Mr Frodo's had something to eat.,Samwise Gamgee,The Return of the King
No time to lose silly!,Gollum,The Return of the King
Come on! Must go! No time!,Gollum,The Return of the King
"And I've gone and had too much. , It must be getting late.  ",Samwise Gamgee,The Return of the King
"No, it isn't. It isn't midday yet. , The days are growing darker.  ",Frodo Baggins,The Return of the King
Here.,Samwise Gamgee,The Return of the King
What about you?,Frodo Baggins,The Return of the King
"Oh no, I'm not hungry, leastways not for lembas bread.  ",Samwise Gamgee,The Return of the King
Sam!,Frodo Baggins,The Return of the King
Aragorn!,Frodo Baggins,The Return of the King
Now come the days of the King. May they be blessed.,Gandalf,The Return of the King
"    This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace.  ",Aragorn II Elessar,The Return of the King
Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!,Aragorn II Elessar,The Return of the King
Hannon le.,Aragorn II Elessar,The Return of the King
"    My friends, , you bow to     no-one.  ",Aragorn II Elessar,The Return of the King
"    ,And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.  ",Frodo Baggins,The Return of the King
Alright!,Peregrin Took,The Return of the King
We were home.,Frodo Baggins,The Return of the King
Hey watch the pumpkin.,MINOR_CHARACTER,The Return of the King
The journey home.,Samwise Gamgee,The Return of the King
"Oh alright, but we don't have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. I've rationed     it, there should be enough.  ",Samwise Gamgee,The Return of the King
"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.  ",Gollum,The Return of the King
"It's good. Definitely from the Shire. ,Longbottom leaf eh?  ",Meriadoc Brandybuck,The Return of the King
"uhh huh , I feel like I'm back at the Green Dragon.  ",Peregrin Took,The Return of the King
"Mmmm , Green Dragon!  ",Meriadoc Brandybuck,The Return of the King
For what?,Frodo Baggins,The Return of the King
Goodnight lads.,Rosie Cotton,The Return of the King
"Welcome, my lords to Isengard!  ",Meriadoc Brandybuck,The Return of the King
You young rascals. A merry hunt you've led us on and now we find you     feasting and ' and smoking!,Gimli,The Return of the King
Hmm?,Peregrin Took,The Return of the King
"Only, , you've never done a hard day's work.     ",Meriadoc Brandybuck,The Return of the King
Ahaha!,Peregrin Took,The Return of the King
"    How do you pick up the threads of an old life? How do you go on, when in     your heart you begin to understand there is no going back? There are some     things that time cannot mend. Some hurts that go too deep, that have taken     hold. ",Frodo Baggins,The Return of the King
Mr Frodo? What is it?,Samwise Gamgee,The Return of the King
It's been four years to the day since Weathertop Sam. It's never really     healed.,Frodo Baggins,The Return of the King
A mug of ale in my hand. Putting my feet up on a settle after a hard     day's work.,Peregrin Took,The Return of the King
"    , There and Back Again, a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished     it. ",Samwise Gamgee,The Return of the King
Not quite. There's room for a little more.,Frodo Baggins,The Return of the King
"    Bilbo once told me his part in this tale would end. That each of us must     come and go in the telling. Bilbo's story was now over. There would be no     more journeys for him. , save one.  ",Frodo Baggins,The Return of the King
To the harbour Bilbo. The elves have accorded you a special honour. A place     on the last ship to leave Middle Earth.,Frodo Baggins,The Return of the King
Salted pork',Gimli,The Return of the King
Hobbits!,Gandalf,The Return of the King
We're under orders from Treebeard who's taken over management of Isengard.,Meriadoc Brandybuck,The Return of the King
"    Tell me again lad, where are we going? ",Bilbo Baggins,The Return of the King
"    Frodo, any chance of seeing that old Ring of mine again? The one I gave you? ",Bilbo Baggins,The Return of the King
"Hoooom, young master Gandalf, I'm glad you've come. Wood and water,     stock and stone I can master, but there is a Wizard to manage here locked in     his tower ",Treebeard,The Return of the King
" We are sitting on a field of     victory enjoying a few well earned comforts , The salted pork is particularly good.  ",Peregrin Took,The Return of the King
" , Show yourself.     ",Aragorn II Elessar,The Return of the King
Well then let's just have his head and be done with it.,Gimli,The Return of the King
"Be careful. Even in defeat, Saruman is dangerous.  ",Gandalf,The Return of the King
"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I? ",Saruman,The Return of the King
We shall have peace'. We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!,Th�oden,The Return of the King
Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!,Saruman,The Return of the King
"No, we need him alive. We need him to talk.  ",Gandalf,The Return of the King
I'm sorry uncle. I'm afraid I lost it.,Frodo Baggins,The Return of the King
Your treachery has already cost many lives. Thousands more are now at     risk. But you could save them Saruman. You were deep in the enemy's counsel.,Gandalf,The Return of the King
I Aear c'n ven na mar.,Elrond,The Return of the King
I think I'm quite ready for another adventure.,Bilbo Baggins,The Return of the King
"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.     ",Gandalf,The Return of the King
What does he mean?,Samwise Gamgee,The Return of the King
Oh! Well here is a sight I have never seen before.,Bilbo Baggins,The Return of the King
The power of the three rings is ended. The time has come for the dominion of     men.,Galadriel,The Return of the King
"    Oh, pity. (He sighs.) I would have like to have held it one last time.  ",Bilbo Baggins,The Return of the King
"    We set out to save the Shire Sam and it has been saved, but not for me.  ",Frodo Baggins,The Return of the King
"    , You don't mean that. You can't     leave. ",Samwise Gamgee,The Return of the King
"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.  ",Saruman,The Return of the King
Save your pity and your mercy. I have no use for it!,Saruman,The Return of the King
Saruman'.. your staff is broken!,Gandalf,The Return of the King
Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.,Th�oden,The Return of the King
I've heard enough! Shoot him! Stick an arrow in his gob!,Gimli,The Return of the King
The last pages are for you Sam.,Frodo Baggins,The Return of the King
Free? He will never be free!,Saruman,The Return of the King
No!,Gr�ma Wormtongue,The Return of the King
"    My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on.  ",Frodo Baggins,The Return of the King
"    Well, I'm back. ",Samwise Gamgee,The Return of the King
I didn't think it would end this way.,Peregrin Took,The Return of the King
"  End?  No, the journey doesn't end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.     ",Gandalf,The Return of the King
A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!,Saruman,The Return of the King
Grima'. Come down! Be free of him!,Th�oden,The Return of the King
No! Come down Saruman and your life will be spared!,Gandalf,The Return of the King
What?  Gandalf?  See what?,Peregrin Took,The Return of the King
Rally to me!  To meeee!,Th�oden,The Return of the King
Feast on his flesh.,Witch-King of Angmar,The Return of the King
I will kill you if you touch him.,�owyn,The Return of the King
The City has fallen silent.  There is no warmth left in the sun.,Faramir,The Return of the King
It grows so cold.,�owyn,The Return of the King
It's just the damp of the first spring rain.,Faramir,The Return of the King
No.  No it isn't.,Gandalf,The Return of the King
"  Well, , that's not  so bad.     ",Peregrin Took,The Return of the King
"  White shores and beyond,  a far green country under a swift sunrise.      ",Gandalf,The Return of the King
I do not believe this darkness will endure.,Faramir,The Return of the King
"  Look!  The Orcs, they're moving off!      ",Samwise Gamgee,The Return of the King
